epoch,train_loss,train_recons,train_kld,val_loss,val_recons,val_kld
1,0.04784131334026383,0.039985831643843686,78.55481712148358,0.03554765913883845,0.029880759254097937,56.66900357055664
2,0.03330056077494494,0.02781778633574142,54.82774713898227,0.03174522956212362,0.026284912824630736,54.60316960652669
3,0.031652802337401545,0.02594154382726752,57.112586621527626,0.030459186429778736,0.024806558748086294,56.526279307047524
4,0.0305237453127877,0.024816346874617177,57.0739856326246,0.02959908646841844,0.023543413216869036,60.55673271687826
5,0.02979521986685301,0.023932296820163155,58.62923216177679,0.0292597437898318,0.023214081997672716,60.456619639078774
6,0.029295306731720778,0.023410559618261197,58.84747225069788,0.02902584058046341,0.023282281170288723,57.43559490966797
7,0.028783576602978162,0.0228159410001803,59.6763574220836,0.0319388409058253,0.02713529328008493,48.03547494506836
8,0.027847101949842842,0.021870776125556463,59.76325999407921,0.026720820089181266,0.020816298718253773,59.04521391805013
9,0.025955862850358204,0.02032563502856378,56.302279155154956,0.0251015028655529,0.01970920797189077,53.922952646891275
10,0.024827266000185776,0.019458290773379582,53.68975386342527,0.024165822476148607,0.01869772345821063,54.68099253336589
11,0.02435089607308641,0.01902629806521977,53.245981538450565,0.023952436576286953,0.0186979874620835,52.54449300130209
12,0.024090557455283195,0.018799087872457522,52.91469747057046,0.023536828865607578,0.01823262943327427,53.04199522908529
13,0.023929961685470662,0.018622596095165242,53.07365734233321,0.0238838146229585,0.0187027730345726,51.81041721598307
14,0.023844368405950778,0.018522607969528832,53.217606156636656,0.0238925700734059,0.018148471961418788,57.440983591715494
15,0.02370908257493562,0.01838717445889036,53.219082564942575,0.023322735533118248,0.018044921845197678,52.77813656616211
16,0.02362970917123438,0.018276891859931973,53.528174499282265,0.02312916675209999,0.01785030491153399,52.78862137858073
17,0.023565966746962732,0.01820385129441159,53.62115556426188,0.02310611700018247,0.0176831311583519,54.22985857137044
18,0.023482271458798294,0.018094158856044137,53.88112761783665,0.023059619893630347,0.01781399127840996,52.4562854309082
19,0.023503237741446137,0.01807866083459339,54.245771085539666,0.023066744536161424,0.017754837080836295,53.11907569376628
20,0.023339401723298812,0.017946500914019833,53.929009189983795,0.022911563977599143,0.017388300051291782,55.23264121500651
21,0.023293983901425005,0.017875589624872294,54.18394402577628,0.0229109538992246,0.017313670660058657,55.97283399454753
22,0.02325804365731353,0.017839538189121002,54.18505607286872,0.02293145027756691,0.017466501062115034,54.6494932047526
23,0.023239147123293117,0.017807634143758456,54.31513088067264,0.02273066759109497,0.01736558958888054,53.65077930704753
24,0.023197939833568857,0.017755827857709794,54.421120410118704,0.022979292462269464,0.0175965110262235,53.82781483968099
25,0.02317691826690001,0.01774739865404608,54.29519784109933,0.0226778557797273,0.01734971961379051,53.28136214192708
26,0.023105134421314025,0.017639724907967544,54.65409696191773,0.022906347115834554,0.017564813281099,53.415338541666664
27,0.02308927966906897,0.017624041601068258,54.65238278402666,0.022677822147806486,0.017017388582229613,56.60433763631185
28,0.023087895726014798,0.017604730550711562,54.83165321324023,0.022969585597515108,0.01716463761528333,58.04948126220703
29,0.02296183096144351,0.01748353515459468,54.78295882114872,0.02279276027282079,0.017469517335295677,53.23242913818359
30,0.022974458874616407,0.017487567504555986,54.868914974314336,0.02258581546942393,0.01701412790020307,55.716877512613934
