beta,best_epoch,best_val_loss,final_train_loss,final_train_recons,final_train_kld,final_val_loss,final_val_recons,final_val_kld,train_time_sec,out_dir
1e-06,30,0.005626519200702508,0.005660061983255414,0.004682197623904629,977.8643711468168,0.005626519200702508,0.004682450704276562,944.0685037434896,493.5654089450836,afhq_beta_sweep/beta_1e-06
1e-05,29,0.010351747244596482,0.010604128127972394,0.007920258769973022,268.3869432075172,0.010503264859318732,0.007769099997977416,273.4164852294922,490.6510396003723,afhq_beta_sweep/beta_1e-05
0.0001,30,0.02258581546942393,0.022974458874616407,0.017487567504555986,54.868914974314336,0.02258581546942393,0.01701412790020307,55.716877512613934,491.5859851837158,afhq_beta_sweep/beta_1e-04
0.001,30,0.04334180647134781,0.04396208016506141,0.03687591049323649,7.086169465469808,0.04334180647134781,0.036005222901701925,7.336583618164062,487.4198200702667,afhq_beta_sweep/beta_1e-03
