,precision,recall,f1-score,support
boxing,0.6729377713458755,0.5677655677655677,0.6158940397350994,819.0
handclapping,0.8002436053593179,0.761297798377752,0.7802850356294537,863.0
handwaving,0.8464384828862165,0.8495821727019499,0.8480074142724745,1077.0
jogging,0.4736111111111111,0.3870601589103292,0.4259837601499063,881.0
running,0.4897579143389199,0.37896253602305474,0.4272948822095857,694.0
walking,0.5442550852116548,0.7415730337078652,0.6277742549143944,1335.0
accuracy,0.6405009701887459,0.6405009701887459,0.6405009701887459,0.6405009701887459
macro avg,0.6378739950421826,0.6143735445810865,0.620873231151819,5669.0
weighted avg,0.6415742516181826,0.6405009701887459,0.6352125878848045,5669.0
