epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0526792035907533,0.5487914055505819,0.8482972685587491,0.6398533534612896,9.890738003669029e-05
2,0.7460680289949385,0.7070277529095792,0.7821993471133522,0.674142764718568,9.567727288213005e-05
3,0.6411627744497096,0.7671217547000895,0.8538648169564915,0.6870821651930127,9.045084971874738e-05
4,0.5704097797695611,0.8098142345568488,0.8774498084554815,0.6872978218675868,8.345653031794292e-05
5,0.5075907390914864,0.8479185317815577,0.9056010655757519,0.6827690317015311,7.500000000000001e-05
6,0.4542947987839913,0.8768464637421666,0.9064548909860983,0.6566745740780677,6.545084971874738e-05
7,0.41118539598976384,0.9003469113697403,0.8849112751741257,0.7041190424843649,5.522642316338269e-05
8,0.37600359860924387,0.9155102954341987,0.9365049660690281,0.6791028682337719,4.4773576836617344e-05
9,0.34442066339210625,0.9317927484333035,0.9890403094134481,0.676730644813457,3.454915028125264e-05
10,0.3202536972831591,0.9420881826320502,1.0443463752667645,0.6728488246711236,2.5000000000000018e-05
11,0.2977105920855873,0.9528312444046553,0.9925246230996012,0.6944144921285313,1.654346968205711e-05
12,0.2842754105851388,0.9578111011638317,1.0329713679525534,0.6898857019624758,9.549150281252635e-06
13,0.27504808128200264,0.9618957027752909,1.0183524359334948,0.6883761052404572,4.322727117869952e-06
14,0.26680268263219187,0.9642457475380484,1.031763571947781,0.6941988354539573,1.092619963309716e-06
15,0.26589994383317184,0.9657564905998209,1.0171598377530113,0.6842786284235497,0.0
