,boxing,handclapping,handwaving,jogging,running,walking
boxing,465,147,62,0,0,145
handclapping,101,657,104,0,1,0
handwaving,124,17,915,0,1,20
jogging,0,0,0,341,134,406
running,0,0,0,173,263,258
walking,1,0,0,206,138,990
