,boxing,handclapping,handwaving,jogging,running,walking
boxing,0.5677655677655677,0.1794871794871795,0.0757020757020757,0.0,0.0,0.17704517704517705
handclapping,0.11703360370799537,0.761297798377752,0.1205098493626883,0.0,0.0011587485515643105,0.0
handwaving,0.11513463324048283,0.015784586815227482,0.8495821727019499,0.0,0.0009285051067780873,0.018570102135561744
jogging,0.0,0.0,0.0,0.3870601589103292,0.15209988649262202,0.4608399545970488
running,0.0,0.0,0.0,0.24927953890489912,0.37896253602305474,0.37175792507204614
walking,0.000749063670411985,0.0,0.0,0.1543071161048689,0.10337078651685393,0.7415730337078652
