epoch,train_loss,train_recons,train_kld,val_loss,val_recons,val_kld
1,0.05266146549441924,0.046211021512196804,64.50444341465291,0.03565720210969448,0.029958913654088974,56.982886891682945
2,0.03397405621171079,0.02851989990480942,54.54156486839769,0.03230745293696721,0.02612201521297296,61.85437831624349
3,0.031597062581749054,0.026032296247062256,55.64766466892996,0.03027090123295784,0.02493465554714203,53.36245364379883
4,0.030598627508796817,0.024946807828297047,56.51819820964654,0.030192687417070072,0.023931993370254836,62.60694160970052
5,0.02990783878989767,0.02413448269567462,57.733562735963666,0.028805238674084344,0.02299408843119939,58.11150281778971
6,0.029310285246288703,0.023444753741655788,58.65531675712914,0.02918300613760948,0.023391809220115342,57.91196944173177
7,0.029090719124377384,0.023053618007411472,60.371012650005476,0.028319216509660086,0.022406579688191413,59.126368367513024
8,0.02841445190127957,0.022494328870951763,59.20123243560061,0.027779836495717365,0.022060382043321926,57.19454662068685
9,0.026975162914220144,0.021170197211343462,58.049658097262586,0.02544992811481158,0.019958392267425854,54.91535823567708
10,0.025282669289423354,0.01979214401428046,54.90525355935504,0.024533108577132225,0.018940512875715892,55.92595986938476
11,0.024555847450062094,0.01919805241579359,53.57795210008497,0.023800908640027048,0.0186308244963487,51.700844706217445
12,0.024208386480472143,0.01887556743958961,53.328192006213484,0.02368284461895625,0.01834314369658629,53.39701103719076
13,0.02394192702075185,0.018623380919362043,53.18546201610761,0.023588842744628587,0.018090331574281058,54.985112192789714
14,0.0238753631043866,0.018542387574320366,53.329756353330055,0.02327695205807686,0.01801610682408015,52.608451680501304
15,0.023712190795213656,0.01837721402926838,53.34976837982157,0.023205444047848384,0.017896055271228156,53.093891479492186
16,0.02367996521095503,0.018298672706204493,53.81292646385918,0.023313968891898792,0.01787861855328083,54.35350476074219
17,0.023572052170357637,0.018185545508676577,53.86506766516789,0.02309771956006686,0.017484960675239563,56.12759022013346
18,0.02347350389717665,0.018064450883572017,54.09053123719221,0.022998156850536664,0.0176181339075168,53.80023185221354
19,0.023394428649108782,0.01799576672854606,53.986620978500774,0.02297870056827863,0.017516574343045554,54.62126203409831
20,0.02334483715559796,0.017892907247436186,54.5193015296086,0.023004671345154444,0.017601412802934646,54.03258433024089
21,0.0233505127461333,0.017908940954300654,54.41571932914562,0.022969437941908838,0.01729493589202563,56.74501981608073
22,0.0233660150994117,0.017902975760385017,54.630395339892814,0.02297032292187214,0.017596604178349178,53.737188700358075
23,0.023211808481794143,0.017752446459322373,54.59362153987402,0.022799230322241782,0.017138325214385988,56.609052998860676
24,0.023198845358699132,0.017750953359660513,54.47892125013016,0.022754069710771242,0.01748001629114151,52.740534027099606
25,0.023118147789739373,0.017632971282078237,54.851766622547245,0.02267254572113355,0.016897401928901674,57.75144039916992
26,0.023039532889009173,0.017557628683221315,54.81904385423954,0.022756046682596207,0.017259161844849588,54.96885063680013
27,0.02312758194126051,0.017626920515086988,55.00661515752827,0.022622583945592245,0.016989997257788977,56.325868998209636
28,0.023065509933084555,0.017576353588559735,54.89156492680454,0.022642912566661833,0.01732039950788021,53.22513161214193
29,0.02296422420582662,0.017470732992814163,54.93491341205631,0.02263148261109988,0.01721963333586852,54.118491556803384
30,0.022994748715843474,0.017476460730283944,55.18288134185728,0.022577674036224682,0.017078888316949207,54.98786177571615
