epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.0974102624855588,0.553483422939068,2.036023479943996,0.3892602976062109,9.938441702975689e-05,39.24390622496139
2,0.7844235746450322,0.716453853046595,1.005301643502797,0.5544533103299547,9.755282581475769e-05,35.332497038994916
3,0.6940260017858184,0.766633064516129,0.8223104616741579,0.6180720293293077,9.45503262094184e-05,34.06499852699926
4,0.643381826499457,0.7937948028673835,1.1488582530501383,0.5585507871468622,9.045084971874738e-05,31.07525643199915
5,0.6029042113425483,0.8171482974910395,1.3530054147101591,0.5285745093810653,8.535533905932738e-05,31.60749865300022
6,0.5631273880227065,0.8431899641577061,0.7281194052608563,0.6987276256200129,7.938926261462366e-05,31.57025505200727
7,0.5303371426345627,0.8626232078853047,1.4242004135513913,0.4791891309036015,7.269952498697734e-05,32.13175543904072
8,0.4923088310760409,0.8813844086021505,1.3696805854179954,0.530299762777658,6.545084971874738e-05,30.43214051099494
9,0.46188222048103167,0.9001456093189965,0.9472615934501878,0.6400690101358637,5.782172325201156e-05,30.46533964399714
10,0.43017568014642243,0.9173387096774194,0.974726636662472,0.6879447918913091,5.000000000000001e-05,30.411086298990995
11,0.40548218695920857,0.9312275985663082,1.5935088860106823,0.4843648910933793,4.217827674798848e-05,30.378507394052576
12,0.37756988026976157,0.9442764336917563,1.2315097761123326,0.6238947595428078,3.454915028125264e-05,30.433423092996236
13,0.35645633797064474,0.9537970430107527,1.3727636305916173,0.5514341168859176,2.730047501302267e-05,30.448683862981852
14,0.33672779841235034,0.9634296594982079,1.1901288892666482,0.660340737545827,2.0610737385376356e-05,30.35692496498814
15,0.3265076365628977,0.9672939068100358,1.2672911936837794,0.646323053698512,1.464466094067263e-05,30.332302459981292
16,0.31301821041919,0.9739583333333334,1.149651480487176,0.6681043778304938,9.549150281252635e-06,30.362697208998725
17,0.29776356865962345,0.9812948028673835,1.3293675206873163,0.6489109337934009,5.4496737905816115e-06,30.352664095000364
18,0.2925576868877616,0.983366935483871,1.2462306386801814,0.6670260944576235,2.4471741852423237e-06,30.524453833990265
19,0.28441493904825604,0.9876232078853047,1.2974332019201456,0.6605563942204011,6.155829702431171e-07,30.43862229696242
20,0.28327281762408524,0.9883512544802867,1.2427755003091665,0.6756523614405866,0.0,30.36874954000814
