,boxing,handclapping,handwaving,jogging,running,walking
boxing,0.6654456654456654,0.02564102564102564,0.018315018315018316,0.01098901098901099,0.07326007326007326,0.20634920634920634
handclapping,0.12746234067207415,0.7195828505214369,0.13441483198146004,0.0,0.0034762456546929316,0.015063731170336037
handwaving,0.05013927576601671,0.15134633240482823,0.7901578458681523,0.003714020427112349,0.0,0.004642525533890436
jogging,0.018161180476730987,0.0056753688989784334,0.0,0.36662883087400683,0.4982973893303065,0.1112372304199773
running,0.005763688760806916,0.0,0.0,0.12536023054755044,0.7665706051873199,0.10230547550432277
walking,0.02247191011235955,0.000749063670411985,0.00599250936329588,0.20524344569288389,0.32659176029962544,0.4389513108614232
