,precision,recall,f1-score,support
boxing,0.7180500658761528,0.6654456654456654,0.6907477820025348,819.0
handclapping,0.7657213316892725,0.7195828505214369,0.7419354838709677,863.0
handwaving,0.8595959595959596,0.7901578458681523,0.8234155781325593,1077.0
jogging,0.4634146341463415,0.36662883087400683,0.4093789607097592,881.0
running,0.3619047619047619,0.7665706051873199,0.49168207024029575,694.0
walking,0.6220806794055201,0.4389513108614232,0.5147123407992973,1335.0
accuracy,0.6099841241841595,0.6099841241841595,0.6099841241841595,0.6099841241841595
macro avg,0.6317945721030015,0.6245561847930008,0.6119787026259024,5669.0
weighted avg,0.6464267535961299,0.6099841241841595,0.6141934256109742,5669.0
